image,sigma,method,psnr,ssim
PD_axial_134.npy,0.05,Noisy,26.140665520144616,0.7463154196739197
PD_axial_134.npy,0.05,DnCNN,33.24244644571605,0.953646719455719
PD_axial_134.npy,0.05,RicianNet,30.192836523200235,0.921273946762085
PD_axial_134.npy,0.05,Attention U-Net,31.446693763725257,0.93337082862854
PD_axial_142.npy,0.05,Noisy,26.17265207824776,0.7822901606559753
PD_axial_142.npy,0.05,DnCNN,32.96887913304808,0.9540706872940063
PD_axial_142.npy,0.05,RicianNet,30.11998156284202,0.9263015389442444
PD_axial_142.npy,0.05,Attention U-Net,31.260760687362634,0.9337537288665771
PD_axial_155.npy,0.05,Noisy,26.096838968327756,0.7642982006072998
PD_axial_155.npy,0.05,DnCNN,33.45077911775391,0.952555775642395
PD_axial_155.npy,0.05,RicianNet,30.77843789213352,0.9277533292770386
PD_axial_155.npy,0.05,Attention U-Net,31.979342701227687,0.9342049956321716
PD_axial_157.npy,0.05,Noisy,26.034796159606945,0.742851972579956
PD_axial_157.npy,0.05,DnCNN,33.48260032811421,0.9496781826019287
PD_axial_157.npy,0.05,RicianNet,30.83161427780624,0.9193905591964722
PD_axial_157.npy,0.05,Attention U-Net,32.07645166547564,0.9315370321273804
PD_axial_178.npy,0.05,Noisy,26.116497210407545,0.8444274067878723
PD_axial_178.npy,0.05,DnCNN,32.53577056836407,0.9649386405944824
PD_axial_178.npy,0.05,RicianNet,30.75755929219556,0.9467020034790039
PD_axial_178.npy,0.05,Attention U-Net,31.059802456018314,0.9515241980552673
PD_coronal_007.npy,0.05,Noisy,26.22127584063228,0.7251886129379272
PD_coronal_007.npy,0.05,DnCNN,34.13081571849985,0.9470146894454956
PD_coronal_007.npy,0.05,RicianNet,31.629868253811946,0.9346538186073303
PD_coronal_007.npy,0.05,Attention U-Net,33.47670552979581,0.943954348564148
PD_coronal_011.npy,0.05,Noisy,26.014947606085755,0.5815327763557434
PD_coronal_011.npy,0.05,DnCNN,36.6284992961564,0.9588332772254944
PD_coronal_011.npy,0.05,RicianNet,33.1405649395141,0.9242416620254517
